year,days
1917,307
1918,308
1919,310
1920,299
1921,304
1922,299
1923,301
1924,298
1925,302
1926,300
1927,294
1928,293
1929,296
1930,295
1931,297
1932,300
1933,289
1934,290
1935,291
1936,290
1937,291
1938,297
1939,292
1940,294
1941,298
1942,305
1943,305
1944,305
1945,306
1946,306
1947,306
1948,306
1949,308
1950,305
1951,304
1952,306
1953,304
1954,305
1955,307
1956,307
1957,305
1958,304
1959,304
1960,308
1961,305
1962,305
1963,305
1964,304
1965,305
1966,307
1967,305
1968,306
1969,305
1970,302
1971,305
1972,304
1973,254
1974,254
1975,253
1976,256
1977,256
1978,254
1979,254
1980,253
1981,253
1982,255
1983,256
1984,254
1985,254
1986,252
1987,254
1988,256
1989,255
1990,253
1991,255
1992,256
1993,259
1994,264
1995,261
1996,258
1997,256
1998,257
1999,253
2000,256
2001,256
2002,255
2003,253
2004,258
2005,255
2006,249
2007,260
2008,257
2009,258
2010,259
2011,259
2012,263
2013,258
2014,256
2015,256
2016,257
2017,256
2018,257
2019,260
2020,257
2021,257
2022,261
2023,259
2024,261
2025,259
